Cam1,Cam2,Temp,Press,Alt,Accel_x2,Accel_y2,Accel_z2,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Quaternion_1,Quaternion_2,Quaternion_3,Quaternion_4,Stage,Time
0,0,25.7181377,906.288269,931.2075195,0.588399,4.9425516,-78.1393814,1.9597218,2.7421746,-81.7053223,0.0521304,0.016904,-0.70219,4.5002923,39.3921661,24.6639385,-0.038676,0.8203804,0.5693983,0.035457,0,2539400
0,1,25.7159328,906.0968018,932.9523315,1.5298375,4.3541527,-75.0797119,1.4572289,2.6416762,-83.9952545,0.1303211,0.0095736,-0.7229595,3.8573933,40.0350647,25.306839,-0.0386537,0.8202639,0.5695666,0.0354719,0,2539425
0,0,25.7136917,905.894104,934.7992554,-0.3530394,2.8243151,-77.6686707,0.7250252,3.1657045,-81.9852829,0.0496869,-0.0063089,-0.6985248,3.7405026,41.0286407,24.8392754,-0.0386166,0.8201423,0.5697433,0.035486,0,2539451
0,0,25.7112865,905.6872559,936.6856079,1.5298375,4.5895123,-78.6101074,0.1004985,2.5914266,-80.7075119,0.1425384,-0.0087523,-0.7229595,3.5067213,40.4441833,24.8977203,-0.038586,0.82002,0.5699214,0.0354871,0,2539477
0,0,25.7083187,905.4910278,938.4748535,1.4121575,2.4712758,-78.8454666,2.3832514,3.4025939,-82.8682327,0.10833,-0.0234131,-0.7327332,3.3313851,41.4962006,24.8392754,-0.0385665,0.81989,0.5701073,0.0355249,0,2539502
0,0,25.705658,905.2689819,940.5001831,-0.4707192,3.6480737,-80.2576218,2.239682,-0.2656033,-83.7655411,0.0838954,-0.0283,-0.752281,2.8638222,41.5546494,25.0730572,-0.0385943,0.8197559,0.5702975,0.0355338,0,2539528
0,1,25.7039452,905.0454102,942.5396729,0.7060788,2.5889556,-77.9040298,1.6438692,2.9647074,-82.0139999,0.1486471,-0.0405173,-0.7901546,2.805377,41.3793106,25.0146122,-0.0385794,0.8196201,0.570492,0.0355622,0,2539554
0,0,25.701067,904.8238525,944.5603027,0.2353596,2.2359161,-76.0211563,1.0983056,0.7465606,-78.4391174,0.1058865,-0.0392956,-0.7669417,2.5715957,43.0157814,25.248394,-0.0385887,0.8194794,0.5706931,0.0355688,0,2539580
0,1,25.6987534,904.5966797,946.6347656,0,3.059675,-75.4327469,0.6819544,1.6366907,-83.7583618,0.1327646,-0.0454042,-0.779159,1.9286966,43.483345,25.306839,-0.0385902,0.8193299,0.5709068,0.0355814,0,2539605
0,1,25.6962948,904.3640137,948.7570801,-0.2353596,3.6480737,-76.9625854,-0.8542377,2.3114665,-82.5810928,0.094891,-0.046626,-0.7999284,1.987142,43.3664513,25.248394,-0.0385678,0.8191819,0.5711207,0.0355814,0,2539631
